prompt_text,complexity_label
What are the long-term macroeconomic effects of sustained quantitative easing and why do economists disagree?,complex
Write a Python metaclass that automatically validates type annotations on class attributes at instantiation time.,complex
Write a Python script that reads a CSV file with 1M rows and computes per-group statistics without loading the entire file into memory.,complex
How does a binary search algorithm work? Explain with an example.,moderate
Describe how OAuth 2.0 authentication works.,moderate
Define the word ephemeral.,simple
Describe how TCP/IP works and how data packets travel across the internet.,moderate
How many sides does a hexagon have?,simple
Who is the current CEO of Tesla?,simple
What is the difference between mutable and immutable objects in Python?,moderate
Write a Python function that flattens an arbitrarily nested JSON object into a single-level dictionary with dot-notation keys.,complex
Convert 100 degrees Fahrenheit to Celsius.,simple
Compare L1 and L2 regularization in machine learning.,moderate
Analyze the trade-offs between using a relational vs graph database for a social network application with billions of user connections.,complex
What is the capital of Australia?,simple
Write a recursive function in Python to solve the Tower of Hanoi problem for N disks.,complex
Define photosynthesis in one sentence.,simple
Explain how load balancing works in distributed systems.,moderate
Explain the concept of a blockchain in simple terms.,moderate
Implement a simple version of Python asyncio event loop to demonstrate cooperative multitasking.,complex
What are the main differences between Python 2 and Python 3?,moderate
Who is the author of the Harry Potter series?,simple
How would you design the backend for a ride-sharing app? Focus on real-time location tracking and matching.,complex
Design a multi-tenant SaaS database schema. How do you isolate tenant data and handle migrations?,complex
What is the chemical symbol for gold?,simple
What does API stand for?,simple
Convert 5 kilometers to miles.,simple
What does HTTP stand for?,simple
What is object-oriented programming and what are its four main principles?,moderate
What is the atomic number of carbon?,simple
How would you approach building a recommendation system for a video streaming platform? Walk through the full pipeline.,complex
Compare eager loading and lazy loading in web applications.,moderate
Explain what Big O notation means and why it matters for algorithms.,moderate
What year was the iPhone first released?,simple
What is the largest ocean on Earth?,simple
Implement a thread-safe singleton pattern in Python.,complex
What are the SOLID principles in software design?,moderate
Explain how a relational database index improves query performance.,moderate
What is the difference between a primary key and a foreign key in a database?,moderate
Design an event sourcing system for a banking application. How do you handle consistency and replay?,complex
What is the difference between a stack and a queue data structure?,moderate
Write a Python decorator that retries a function call up to 3 times with exponential backoff on failure.,complex
What is the capital of Canada?,simple
Who wrote Romeo and Juliet?,simple
What are the main causes of inflation and how does central bank policy address it?,moderate
Explain what a decision tree classifier does and how it splits data.,moderate
Write a Python program that uses asyncio to concurrently fetch data from 100 URLs and aggregate the results.,complex
Implement a trie data structure in Python and use it to build an autocomplete feature.,complex
Design a URL shortener service. Describe the system architecture and key trade-offs.,complex
Write a Python function that takes a list of integers and returns all prime numbers in that list.,complex
How would you migrate 10 terabytes of data from one database schema to another with minimal downtime?,complex
Write a Python function to parse and evaluate a mathematical expression given as a string supporting standard operators.,complex
